pipeline,id,question,gold_answer,model_answer,latency_sec,model_answer_clean
vector_mistral,Q1,What are the three basic security measures the Small Business Cyber Security Guide recommends as a starting point for SMBs?,"The guide recommends turning on multi-factor authentication, updating software, and backing up information as basic security measures.","The Small Business Cyber Security Guide recommends the following three basic security measures as a starting point for SMBs:
1. Turn on multi-factor authentication
2. Update your software
3. Back up your information",1.192293643951416,The Small Business Cyber Security Guide recommends the following three basic security measures as a starting point for SMBs: 1. Turn on multi-factor authentication 2. Update your software 3. Back up your information
vector_mistral,Q2,Which Australian government agency provides advice and has a 24/7 hotline for cyber security support?,"The Australian Cyber Security Centre (ACSC) provides advice and support, including through a 24/7 hotline.",The Australian Cyber Security Centre (ACSC) provides advice and has a 24/7 hotline for cyber security support.,0.7838878631591797,The Australian Cyber Security Centre (ACSC) provides advice and has a 24/7 hotline for cyber security support.
vector_mistral,Q3,"What types of scams do cybercriminals use to target small businesses, and what are the goals of these scams?","Cybercriminals use email, text messages, phone calls, and social media scams, often pretending to be a trusted person or organization. Their goal is to scam staff into sending money/gift cards, clicking malicious links, or giving away sensitive information like passwords.","Cybercriminals use scam messages and phishing attacks to target small businesses. The goals of these scams are to scam the business or its staff into sending money or gift cards, clicking on malicious links or attachments, or giving away sensitive information such as passwords.",1.5429270267486572,"Cybercriminals use scam messages and phishing attacks to target small businesses. The goals of these scams are to scam the business or its staff into sending money or gift cards, clicking on malicious links or attachments, or giving away sensitive information such as passwords."
vector_mistral,Q4,What critical challenge did the Western Australia study identify as the biggest hindrance to cybersecurity for SMBs?,"The biggest hindrance to cybersecurity found by the study was the lack of funds, coupled with a lack of knowledge on where to start implementing good security practices.","The biggest hindrance to cybersecurity for SMBs, according to the Western Australia study, is the lack of funds.",0.7621228694915771,"The biggest hindrance to cybersecurity for SMBs, according to the Western Australia study, is the lack of funds."
vector_mistral,Q5,What is the purpose of the Notifiable Data Breaches (NDB) legislation regarding reporting obligations for organizations?,The NDB legislation requires an organization to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) as soon as practicable of a material data breach.,The Notifiable Data Breaches (NDB) legislation requires organizations to report data breaches to the Information Commissioner as soon as practicable.,0.8599095344543457,The Notifiable Data Breaches (NDB) legislation requires organizations to report data breaches to the Information Commissioner as soon as practicable.
vector_mistral,Q6,What is the role of MFA (Multi-factor authentication) in protecting online accounts for small businesses?,"MFA is one of the most effective ways to protect online accounts and applications from cyber criminals, acting as a two-step verification to verify a user’s identity.","Multi-factor authentication (MFA) is a security measure that requires two or more proofs of identity to grant access to online accounts. It adds an additional layer of security to protect against unauthorized access and is one of the most effective ways to protect valuable information and accounts. Small businesses should implement MFA on important accounts wherever possible, prioritizing financial and email accounts.",1.9597599506378172,"Multi-factor authentication (MFA) is a security measure that requires two or more proofs of identity to grant access to online accounts. It adds an additional layer of security to protect against unauthorized access and is one of the most effective ways to protect valuable information and accounts. Small businesses should implement MFA on important accounts wherever possible, prioritizing financial and email accounts."
vector_mistral,Q7,What are the two primary reasons why SMEs are highly important entities to threat actors?,"SMEs are highly important to threat actors because they are easier targets to exploit, and they often serve as a gateway to larger organizations or targeted high-profile victims [F11. CITRENZ_2022_paper_3899.pdf].",SMEs are highly important entities to threat actors due to their inadequate security measures and because they are the gateway to larger organizations or targeted high-profile victims.,0.9730522632598876,SMEs are highly important entities to threat actors due to their inadequate security measures and because they are the gateway to larger organizations or targeted high-profile victims.
vector_mistral,Q8,What should small businesses be aware of if they pay a ransom during a ransomware incident?,"Paying a ransom does not guarantee that the files will be restored, and it increases the likelihood of the victim being targeted again.","Paying a ransom during a ransomware incident does not guarantee the restoration of files, nor does it prevent the publication of stolen data or its on-sale for use in other crimes. It also increases the likelihood of being targeted again.",1.375004768371582,"Paying a ransom during a ransomware incident does not guarantee the restoration of files, nor does it prevent the publication of stolen data or its on-sale for use in other crimes. It also increases the likelihood of being targeted again."
vector_mistral,Q9,What is the purpose of the proposed Cyber Health-Check Program under the 2023–2030 Australian Cyber Security Strategy?,"The program will offer a free, tailored assessment of cyber security maturity to small and medium businesses, along with educational tools and materials to help them improve their cyber security posture.","The purpose of the proposed Cyber Health-Check Program under the 2023–2030 Australian Cyber Security Strategy is to provide a voluntary, low-cost, and streamlined assessment of an organization's cybersecurity posture, with the aim of identifying areas for improvement and sharing lessons learned after a cyber incident. The program is designed with careful consideration to minimize regulatory burden.",2.1192338466644287,"The purpose of the proposed Cyber Health-Check Program under the 2023–2030 Australian Cyber Security Strategy is to provide a voluntary, low-cost, and streamlined assessment of an organization's cybersecurity posture, with the aim of identifying areas for improvement and sharing lessons learned after a cyber incident. The program is designed with careful consideration to minimize regulatory burden."
vector_mistral,Q10,What function does Application Control serve in preventing threats on systems?,"Application control is an effective way to prevent malicious code from executing on workstations and servers, and to ensure only approved applications can execute.","Application control can prevent malicious code from executing on workstations and servers, ensure only approved applications can execute, and restrict the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications, and control panel applets to an organization-approved set.",1.547199249267578,"Application control can prevent malicious code from executing on workstations and servers, ensure only approved applications can execute, and restrict the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications, and control panel applets to an organization-approved set."
