pipeline,id,question,gold_answer,model_answer_raw,model_answer_clean,contexts,latency_sec,status,gold_clean,answer_clean,contexts_joined,meteor,faithfulness,hallucination_risk,answer_relevance,context_relevance,completeness_rougeL_recall,hallucination,irrelevance,completeness
graph_qwen,Q1,What are the three basic security measures the Small Business Cyber Security Guide recommends as a starting point for SMBs?,"The guide recommends turning on multi-factor authentication, updating software, and backing up information as basic security measures.","The Small Business Cyber Security Guide emphasizes implementing multi-factor authentication (MFA), which is recommended as a basic security measure by the ACSC. It also highlights the importance of adhering to Australian Privacy Principle 12 (APP 12) to ensure the security of sensitive data through appropriate safeguards. Additionally, the guide suggests training employees via programs like the Cyber Wardens initiative to enhance overall cybersecurity awareness and preparedness. I do not have enough信息 from the knowledge graph toanswer this question.","The Small Business Cyber Security Guide emphasizes implementing multi-factor authentication (MFA), which is recommended as a basic security measure by the ACSC. It also highlights the importance of adhering to Australian Privacy Principle 12 (APP 12) to ensure the security of sensitive data through appropriate safeguards. Additionally, the guide suggests training employees via programs like the Cyber Wardens initiative to enhance overall cybersecurity awareness and preparedness. I do not have enough信息 from the knowledge graph toanswer this question.","SMBs --RELATED_TO--> Less likely to implement cyber security measures ||| Australian Privacy Principle 11 (APP 11) --REQUIRES--> Active measures to ensure the security of personal information ||| Australian Privacy Principle 11 (APP 11) --REQUIRES--> Take active measures to ensure the security of personal information ||| Cyber Wardens program --RELATED_TO--> Train 50,000 Cyber Wardens across Australia over the next three years ||| Sensitive data (in SMEs) --RELATED_TO--> Freely accessible due to no encryption or access control measures ||| SMEs --RELATED_TO--> Prioritise business growth over security measures ||| Multi-factor authentication (MFA) --RELATED_TO--> Recommended basic security measure (by ACSC)",10.88793921470642,ok,"The guide recommends turning on multi-factor authentication, updating software, and backing up information as basic security measures.","The Small Business Cyber Security Guide emphasizes implementing multi-factor authentication (MFA), which is recommended as a basic security measure by the ACSC. It also highlights the importance of adhering to Australian Privacy Principle 12 (APP 12) to ensure the security of sensitive data through appropriate safeguards. Additionally, the guide suggests training employees via programs like the Cyber Wardens initiative to enhance overall cybersecurity awareness and preparedness. I do not have enough信息 from the knowledge graph toanswer this question.","SMBs --RELATED_TO--> Less likely to implement cyber security measures Australian Privacy Principle 11 (APP 11) --REQUIRES--> Active measures to ensure the security of personal information Australian Privacy Principle 11 (APP 11) --REQUIRES--> Take active measures to ensure the security of personal information Cyber Wardens program --RELATED_TO--> Train 50,000 Cyber Wardens across Australia over the next three years Sensitive data (in SMEs) --RELATED_TO--> Freely accessible due to no encryption or access control measures SMEs --RELATED_TO--> Prioritise business growth over security measures Multi-factor authentication (MFA) --RELATED_TO--> Recommended basic security measure (by ACSC)",0.0,0.0058738067746162415,0.0020902869291603565,0.9958737102600685,0.8641753446301397,0.5,0.0020902869291603565,0.004126289739931455,0.5
graph_qwen,Q2,Which Australian government agency provides advice and has a 24/7 hotline for cyber security support?,"The Australian Cyber Security Centre (ACSC) provides advice and support, including through a 24/7 hotline.","The Cyber Incident Review Board (CI RB) is responsible for issuing advice to government and industry to prevent recurring incidents, but there is no specific mention of a 24/ 7 hotline in the provided facts. I do not have enough information to confirm which agency provides a 24/ seven hotline for cybersecurity support based solely on the given facts. Okay, let me try to figure out how to approach this. The user is asking which Australian government agency provides advice with a 24/6 hotline for cybersecurity support.","The Cyber Incident Review Board (CI RB) is responsible for issuing advice to government and industry to prevent recurring incidents, but there is no specific mention of a 24/ 7 hotline in the provided facts. I do not have enough information to confirm which agency provides a 24/ seven hotline for cybersecurity support based solely on the given facts. Okay, let me try to figure out how to approach this. The user is asking which Australian government agency provides advice with a 24/6 hotline for cybersecurity support.",ASD’s Essential Eight mitigation strategies --MITIGATES--> Risk of compromise (government systems) ||| Highly sophisticated nation states and state-sponsored actors --TARGETS--> Governments and critical infrastructure providers ||| ASD’s Essential Eight --APPLIES_TO--> Australian Government agencies ||| ASD Essential Eight --REQUIRES--> Uplift of government systems ||| Cyber Incident Review Board (CIRB) --RESPONSIBLE_FOR--> Issuing advice to government and industry on how to avoid recurrence of incidents ||| Ransomware business model --REQUIRES--> Disruption by Australian Government ||| Foreign owned suppliers operating in Australia --RELATED_TO--> Subject to a foreign government’s lawful access to data ||| ASD’s Essential Eight --RELATED_TO--> Australian Government Information Security Manual ||| ASD’s Essential Eight --RELATED_TO--> Zero trust (whole-of-government culture) ||| Cyber Incident Management Arrangements --REQUIRES--> Formally recognising businesses in government's incident response playbook,8.857695579528809,ok,"The Australian Cyber Security Centre (ACSC) provides advice and support, including through a 24/7 hotline.","The Cyber Incident Review Board (CI RB) is responsible for issuing advice to government and industry to prevent recurring incidents, but there is no specific mention of a 24/ 7 hotline in the provided facts. I do not have enough information to confirm which agency provides a 24/ seven hotline for cybersecurity support based solely on the given facts. Okay, let me try to figure out how to approach this. The user is asking which Australian government agency provides advice with a 24/6 hotline for cybersecurity support.",ASD’s Essential Eight mitigation strategies --MITIGATES--> Risk of compromise (government systems) Highly sophisticated nation states and state-sponsored actors --TARGETS--> Governments and critical infrastructure providers ASD’s Essential Eight --APPLIES_TO--> Australian Government agencies ASD Essential Eight --REQUIRES--> Uplift of government systems Cyber Incident Review Board (CIRB) --RESPONSIBLE_FOR--> Issuing advice to government and industry on how to avoid recurrence of incidents Ransomware business model --REQUIRES--> Disruption by Australian Government Foreign owned suppliers operating in Australia --RELATED_TO--> Subject to a foreign government’s lawful access to data ASD’s Essential Eight --RELATED_TO--> Australian Government Information Security Manual ASD’s Essential Eight --RELATED_TO--> Zero trust (whole-of-government culture) Cyber Incident Management Arrangements --REQUIRES--> Formally recognising businesses in government's incident response playbook,0.0,0.7413303256034851,0.03782709687948227,0.9998506801919961,0.41677074514384166,0.5,0.03782709687948227,0.00014931980800392264,0.5
graph_qwen,Q3,"What types of scams do cybercriminals use to target small businesses, and what are the goals of these scams?","Cybercriminals use email, text messages, phone calls, and social media scams, often pretending to be a trusted person or organization. Their goal is to scam staff into sending money/gift cards, clicking malicious links, or giving away sensitive information like passwords.","Cybercriminals often target small businesses through scams such as phishing, ransomware, and business email compromise, aiming to steal sensitive data, disrupt operations, or extort money. These attacks exploit vulnerabilities in weak cybersecurity measures, particularly affecting micro-sized enterprises that lack robust defenses. The primary goal is to gain unauthorized access to business data, which can lead to financial loss, reputational damage, and legal consequences for the targeted organizations. I do not have enough信息 from the knowledge graph toanswer this question.","Cybercriminals often target small businesses through scams such as phishing, ransomware, and business email compromise, aiming to steal sensitive data, disrupt operations, or extort money. These attacks exploit vulnerabilities in weak cybersecurity measures, particularly affecting micro-sized enterprises that lack robust defenses. The primary goal is to gain unauthorized access to business data, which can lead to financial loss, reputational damage, and legal consequences for the targeted organizations. I do not have enough信息 from the knowledge graph toanswer this question.",NAS or other servers --TARGETS--> Cybercriminals ||| Data breaches --RELATED_TO--> Cybercriminals targeting business data ||| Business data --REQUIRES--> Protection from cybercriminals ||| Micro sized enterprises --RELATED_TO--> Especially vulnerable to highly adaptable and cunning cybercriminals,9.062706232070925,ok,"Cybercriminals use email, text messages, phone calls, and social media scams, often pretending to be a trusted person or organization. Their goal is to scam staff into sending money/gift cards, clicking malicious links, or giving away sensitive information like passwords.","Cybercriminals often target small businesses through scams such as phishing, ransomware, and business email compromise, aiming to steal sensitive data, disrupt operations, or extort money. These attacks exploit vulnerabilities in weak cybersecurity measures, particularly affecting micro-sized enterprises that lack robust defenses. The primary goal is to gain unauthorized access to business data, which can lead to financial loss, reputational damage, and legal consequences for the targeted organizations. I do not have enough信息 from the knowledge graph toanswer this question.",NAS or other servers --TARGETS--> Cybercriminals Data breaches --RELATED_TO--> Cybercriminals targeting business data Business data --REQUIRES--> Protection from cybercriminals Micro sized enterprises --RELATED_TO--> Especially vulnerable to highly adaptable and cunning cybercriminals,0.0,0.001134921214543283,0.002916737925261259,0.9998956818761141,0.610979513745348,0.17073170731707318,0.002916737925261259,0.00010431812388589368,0.17073170731707318
graph_qwen,Q4,What critical challenge did the Western Australia study identify as the biggest hindrance to cybersecurity for SMBs?,"The biggest hindrance to cybersecurity found by the study was the lack of funds, coupled with a lack of knowledge on where to start implementing good security practices.","The study identified that the lack of clear, prescriptive guidelines hinders cybersecurity efforts for SMBs in Western Australia, as non-prescriptive mandates cause cybersecurity to evolve alongside critical technologies, making it difficult for smaller businesses to keep up with necessary protections. Additionally, the reliance on employees and owners to recognize and respond to cyber threats adds complexity, especially when resources are limited. The SOCI Act's focus on critical infrastructure may leave SMBs without specific regulatory support, increasing their vulnerability to attacks targeting essential services. I do not have enough信息 from the knowledge graph toanswer this question.","The study identified that the lack of clear, prescriptive guidelines hinders cybersecurity efforts for SMBs in Western Australia, as non-prescriptive mandates cause cybersecurity to evolve alongside critical technologies, making it difficult for smaller businesses to keep up with necessary protections. Additionally, the reliance on employees and owners to recognize and respond to cyber threats adds complexity, especially when resources are limited. The SOCI Act's focus on critical infrastructure may leave SMBs without specific regulatory support, increasing their vulnerability to attacks targeting essential services. I do not have enough信息 from the knowledge graph toanswer this question.","Malicious state actors and cybercriminals --TARGETS--> Critical services like telecommunication networks and health systems ||| Highly sophisticated nation states and state-sponsored actors --TARGETS--> Governments and critical infrastructure providers ||| Non-prescriptive mandates --CAUSES--> Cybersecurity evolves with critical technologies ||| Security of Critical Infrastructure Act 2018 (SOCI Act) --APPLIES_TO--> Critical infrastructure regulation ||| NIST Identify Function (CSF) --REQUIRES--> Understanding and prioritising critical assets, systems, and data ||| Cyber security threats --LEADS_TO--> Threatening SMEs' existence, profitability, and critical contributions to the economy ||| SMBs (Western Australia) --LOCATED_IN--> Western Australia (WA) ||| Employees and owners (SMEs) --RELATED_TO--> Main actors within the critical steps in recognizing, responding to and recovering from cyber-attack",8.854867219924927,ok,"The biggest hindrance to cybersecurity found by the study was the lack of funds, coupled with a lack of knowledge on where to start implementing good security practices.","The study identified that the lack of clear, prescriptive guidelines hinders cybersecurity efforts for SMBs in Western Australia, as non-prescriptive mandates cause cybersecurity to evolve alongside critical technologies, making it difficult for smaller businesses to keep up with necessary protections. Additionally, the reliance on employees and owners to recognize and respond to cyber threats adds complexity, especially when resources are limited. The SOCI Act's focus on critical infrastructure may leave SMBs without specific regulatory support, increasing their vulnerability to attacks targeting essential services. I do not have enough信息 from the knowledge graph toanswer this question.","Malicious state actors and cybercriminals --TARGETS--> Critical services like telecommunication networks and health systems Highly sophisticated nation states and state-sponsored actors --TARGETS--> Governments and critical infrastructure providers Non-prescriptive mandates --CAUSES--> Cybersecurity evolves with critical technologies Security of Critical Infrastructure Act 2018 (SOCI Act) --APPLIES_TO--> Critical infrastructure regulation NIST Identify Function (CSF) --REQUIRES--> Understanding and prioritising critical assets, systems, and data Cyber security threats --LEADS_TO--> Threatening SMEs' existence, profitability, and critical contributions to the economy SMBs (Western Australia) --LOCATED_IN--> Western Australia (WA) Employees and owners (SMEs) --RELATED_TO--> Main actors within the critical steps in recognizing, responding to and recovering from cyber-attack",0.0,0.000990938046015799,0.0011767590185627341,0.9993833655636097,0.7365282012104934,0.2857142857142857,0.0011767590185627341,0.000616634436390262,0.2857142857142857
graph_qwen,Q5,What is the purpose of the Notifiable Data Breaches (NDB) legislation regarding reporting obligations for organizations?,The NDB legislation requires an organization to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) as soon as practicable of a material data breach.,"The Notifiable Data Breaches scheme requires organizations to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) of a material data breach, ensuring transparency and accountability in handling personal data incidents. This obligation applies when a breach involves unauthorized access, disclosure, or loss of personal information that could cause serious harm. The reporting process helps mitigate risks and allows regulatory oversight to enforce compliance with privacy laws. I do not have enough信息 from the knowledge graph to 答案 this question.","The Notifiable Data Breaches scheme requires organizations to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) of a material data breach, ensuring transparency and accountability in handling personal data incidents. This obligation applies when a breach involves unauthorized access, disclosure, or loss of personal information that could cause serious harm. The reporting process helps mitigate risks and allows regulatory oversight to enforce compliance with privacy laws. I do not have enough信息 from the knowledge graph to 答案 this question.","Australian Small Businesses (SMBs) --REQUIRES--> Data backups ||| Data stocktake --REQUIRES--> Visibility of the key data (customer, supplier, employee) ||| Ransomware --REQUIRES--> Regularly backup important data ||| Backups --REQUIRES--> Testing regularly by attempting to restore data ||| NDB scheme --REQUIRES--> Notify affected individuals and the OAIC of a material data breach ||| Ransomware reporting for businesses (Proposed) --REQUIRES--> Information on attack scope, timeframe, entry point, type, and data targeted ||| NIST Identify Function (CSF) --REQUIRES--> Understanding and prioritising critical assets, systems, and data",10.047439098358154,ok,The NDB legislation requires an organization to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) as soon as practicable of a material data breach.,"The Notifiable Data Breaches scheme requires organizations to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) of a material data breach, ensuring transparency and accountability in handling personal data incidents. This obligation applies when a breach involves unauthorized access, disclosure, or loss of personal information that could cause serious harm. The reporting process helps mitigate risks and allows regulatory oversight to enforce compliance with privacy laws. I do not have enough信息 from the knowledge graph to 答案 this question.","Australian Small Businesses (SMBs) --REQUIRES--> Data backups Data stocktake --REQUIRES--> Visibility of the key data (customer, supplier, employee) Ransomware --REQUIRES--> Regularly backup important data Backups --REQUIRES--> Testing regularly by attempting to restore data NDB scheme --REQUIRES--> Notify affected individuals and the OAIC of a material data breach Ransomware reporting for businesses (Proposed) --REQUIRES--> Information on attack scope, timeframe, entry point, type, and data targeted NIST Identify Function (CSF) --REQUIRES--> Understanding and prioritising critical assets, systems, and data",0.0,0.0012762956321239471,0.000461561547126621,0.9987967031484161,0.03381077018280481,0.75,0.000461561547126621,0.0012032968515839348,0.75
graph_qwen,Q6,What is the role of MFA (Multi-factor authentication) in protecting online accounts for small businesses?,"MFA is one of the most effective ways to protect online accounts and applications from cyber criminals, acting as a two-step verification to verify a user’s identity.","MFA plays a crucial role in protecting online accounts for Australian small businesses by adding an extra layer of security beyond just passwords. It is required for administrative accounts and is also necessary for accessing services affected by ransomware, ensuring that even if a password is compromised, unauthorized access is prevented. Additionally, MFA is mandated for all small businesses to enhance overall account security. Wait, I think I mentioned ""all small businesses"" which isn't explicitly stated in the facts.","MFA plays a crucial role in protecting online accounts for Australian small businesses by adding an extra layer of security beyond just passwords. It is required for administrative accounts and is also necessary for accessing services affected by ransomware, ensuring that even if a password is compromised, unauthorized access is prevented. Additionally, MFA is mandated for all small businesses to enhance overall account security. Wait, I think I mentioned ""all small businesses"" which isn't explicitly stated in the facts.",Australian Small Businesses (SMBs) --REQUIRES--> Multi-factor authentication (MFA) ||| Administrative accounts (servers/NAS) --REQUIRES--> Strong passphrase or multi-factor authentication ||| User access --REQUIRES--> Only what they need for their role ||| Business devices (before disposal) --REQUIRES--> Perform a factory reset ||| Ransomware --REQUIRES--> Require multi-factor authentication to access services,8.856650114059448,ok,"MFA is one of the most effective ways to protect online accounts and applications from cyber criminals, acting as a two-step verification to verify a user’s identity.","MFA plays a crucial role in protecting online accounts for Australian small businesses by adding an extra layer of security beyond just passwords. It is required for administrative accounts and is also necessary for accessing services affected by ransomware, ensuring that even if a password is compromised, unauthorized access is prevented. Additionally, MFA is mandated for all small businesses to enhance overall account security. Wait, I think I mentioned ""all small businesses"" which isn't explicitly stated in the facts.",Australian Small Businesses (SMBs) --REQUIRES--> Multi-factor authentication (MFA) Administrative accounts (servers/NAS) --REQUIRES--> Strong passphrase or multi-factor authentication User access --REQUIRES--> Only what they need for their role Business devices (before disposal) --REQUIRES--> Perform a factory reset Ransomware --REQUIRES--> Require multi-factor authentication to access services,0.0,0.0014073251513764262,0.0005533576477319002,0.9998777217968484,0.9943500123218878,0.2413793103448276,0.0005533576477319002,0.00012227820315158233,0.2413793103448276
graph_qwen,Q7,What are the two primary reasons why SMEs are highly important entities to threat actors?,"SMEs are highly important to threat actors because they are easier targets to exploit, and they often serve as a gateway to larger organizations or targeted high-profile victims [F11. CITRENZ_2022_paper_3899.pdf].","The ASD Essential 8 and the ASD Top 4 cause confusion for SMEs regarding guidance, which may lead to vulnerabilities being exploited by threat actors due to unclear cybersecurity practices. Additionally, SMEs often lack dedicated IT security teams, making them easier targets for cyberattacks. However, based on the provided facts, only the first reason is directly mentioned as causing confusion for SMEs related to guidance. The second point about lacking dedicated IT security teams is inferred but not explicitly stated in the given facts.","The ASD Essential 8 and the ASD Top 4 cause confusion for SMEs regarding guidance, which may lead to vulnerabilities being exploited by threat actors due to unclear cybersecurity practices. Additionally, SMEs often lack dedicated IT security teams, making them easier targets for cyberattacks. However, based on the provided facts, only the first reason is directly mentioned as causing confusion for SMEs related to guidance. The second point about lacking dedicated IT security teams is inferred but not explicitly stated in the given facts.",ASD Essential 8 and ASD Top 4 --CAUSES--> Confusion for SMEs (re: guidance),10.007370233535768,ok,"SMEs are highly important to threat actors because they are easier targets to exploit, and they often serve as a gateway to larger organizations or targeted high-profile victims [F11. CITRENZ_2022_paper_3899.pdf].","The ASD Essential 8 and the ASD Top 4 cause confusion for SMEs regarding guidance, which may lead to vulnerabilities being exploited by threat actors due to unclear cybersecurity practices. Additionally, SMEs often lack dedicated IT security teams, making them easier targets for cyberattacks. However, based on the provided facts, only the first reason is directly mentioned as causing confusion for SMEs related to guidance. The second point about lacking dedicated IT security teams is inferred but not explicitly stated in the given facts.",ASD Essential 8 and ASD Top 4 --CAUSES--> Confusion for SMEs (re: guidance),0.0,0.007317753043025732,0.004065736196935177,0.9808494332554848,0.0009113120821090319,0.22857142857142856,0.004065736196935177,0.019150566744515207,0.22857142857142856
graph_qwen,Q8,What should small businesses be aware of if they pay a ransom during a ransomware incident?,"Paying a ransom does not guarantee that the files will be restored, and it increases the likelihood of the victim being targeted again.","Small businesses should be aware that paying a ransom does not guarantee recovery of data or ensure future protection, as they may lack cybersecurity knowledge despite having general awareness. They might also rely heavily on the security of third-party platforms, which could be compromised in such incidents. The Australian Government has invested significantly in cybersecurity initiatives, but individual businesses still face challenges in understanding and mitigating risks effectively. I do not have enough信息 from the knowledge graph to address the specific consequences of paying a ransom during a ransomeware incident.","Small businesses should be aware that paying a ransom does not guarantee recovery of data or ensure future protection, as they may lack cybersecurity knowledge despite having general awareness. They might also rely heavily on the security of third-party platforms, which could be compromised in such incidents. The Australian Government has invested significantly in cybersecurity initiatives, but individual businesses still face challenges in understanding and mitigating risks effectively. I do not have enough信息 from the knowledge graph to address the specific consequences of paying a ransom during a ransomeware incident.",User access --REQUIRES--> Only what they need for their role ||| Australian Government --RESPONSIBLE_FOR--> Invest $62.3 million in a classified national situational awareness capability ||| Australian Government --RESPONSIBLE_FOR--> Investing $1.35 billion Cyber Enhanced Situational Awareness and Response (CESAR) package ||| Health Care and Social Assistance industry (SMBs) --RELATED_TO--> Unaware of the NDB legislation (67%) ||| Health Care and Social Assistance industry (SMBs) --RELATED_TO--> Unaware of the NDB legislation (67%) ||| Small businesses --RELATED_TO--> Rely heavily on security of platforms they use (assuming ‘secure-by-design’) ||| Australian SME employees and owners --RELATED_TO--> Lack the awareness of common threats ||| ASD’s ACSC --RESPONSIBLE_FOR--> Providing cyber security awareness training to SMEs ||| SMEs --RELATED_TO--> 75% believe they are not targets of cybercrime ||| SMBs --RELATED_TO--> Lack cybersecurity knowledge (despite general awareness),8.846027612686157,ok,"Paying a ransom does not guarantee that the files will be restored, and it increases the likelihood of the victim being targeted again.","Small businesses should be aware that paying a ransom does not guarantee recovery of data or ensure future protection, as they may lack cybersecurity knowledge despite having general awareness. They might also rely heavily on the security of third-party platforms, which could be compromised in such incidents. The Australian Government has invested significantly in cybersecurity initiatives, but individual businesses still face challenges in understanding and mitigating risks effectively. I do not have enough信息 from the knowledge graph to address the specific consequences of paying a ransom during a ransomeware incident.",User access --REQUIRES--> Only what they need for their role Australian Government --RESPONSIBLE_FOR--> Invest $62.3 million in a classified national situational awareness capability Australian Government --RESPONSIBLE_FOR--> Investing $1.35 billion Cyber Enhanced Situational Awareness and Response (CESAR) package Health Care and Social Assistance industry (SMBs) --RELATED_TO--> Unaware of the NDB legislation (67%) Health Care and Social Assistance industry (SMBs) --RELATED_TO--> Unaware of the NDB legislation (67%) Small businesses --RELATED_TO--> Rely heavily on security of platforms they use (assuming ‘secure-by-design’) Australian SME employees and owners --RELATED_TO--> Lack the awareness of common threats ASD’s ACSC --RESPONSIBLE_FOR--> Providing cyber security awareness training to SMEs SMEs --RELATED_TO--> 75% believe they are not targets of cybercrime SMBs --RELATED_TO--> Lack cybersecurity knowledge (despite general awareness),0.0,0.14434084296226501,0.0005736739258281887,0.9999344834015768,5.94841550581528e-05,0.4782608695652174,0.0005736739258281887,6.551659842324309e-05,0.4782608695652174
graph_qwen,Q9,What is the purpose of the proposed Cyber Health-Check Program under the 2023–2030 Australian Cyber Security Strategy?,"The program will offer a free, tailored assessment of cyber security maturity to small and medium businesses, along with educational tools and materials to help them improve their cyber security posture.","The purpose of the proposed CyberHealth-Check Program under the Australian Cyber Security Strategy is to enhance the cybersecurity resilience of critical infrastructure sectors, including healthcare, by identifying vulnerabilities and providing targeted guidance to improve security postures. This initiative aligns with efforts to strengthen national cybersecurity capabilities through collaborative threat intelligence sharing and proactive risk management. It complements existing measures such as the Threat Sharing Acceleration Fund, which focuses on building the health system's ability to detect and respond to cyber threats effectively. I do not have enough information to answer this question.","The purpose of the proposed CyberHealth-Check Program under the Australian Cyber Security Strategy is to enhance the cybersecurity resilience of critical infrastructure sectors, including healthcare, by identifying vulnerabilities and providing targeted guidance to improve security postures. This initiative aligns with efforts to strengthen national cybersecurity capabilities through collaborative threat intelligence sharing and proactive risk management. It complements existing measures such as the Threat Sharing Acceleration Fund, which focuses on building the health system's ability to detect and respond to cyber threats effectively.",Malicious state actors and cybercriminals --TARGETS--> Critical services like telecommunication networks and health systems ||| Threat Sharing Acceleration Fund --RESPONSIBLE_FOR--> Building capability of Australia’s health system to identify threats ||| ASD’s limited use obligation --MITIGATES--> Voluntarily provided information being used for regulatory purposes,9.935352802276611,ok,"The program will offer a free, tailored assessment of cyber security maturity to small and medium businesses, along with educational tools and materials to help them improve their cyber security posture.","The purpose of the proposed CyberHealth-Check Program under the Australian Cyber Security Strategy is to enhance the cybersecurity resilience of critical infrastructure sectors, including healthcare, by identifying vulnerabilities and providing targeted guidance to improve security postures. This initiative aligns with efforts to strengthen national cybersecurity capabilities through collaborative threat intelligence sharing and proactive risk management. It complements existing measures such as the Threat Sharing Acceleration Fund, which focuses on building the health system's ability to detect and respond to cyber threats effectively.",Malicious state actors and cybercriminals --TARGETS--> Critical services like telecommunication networks and health systems Threat Sharing Acceleration Fund --RESPONSIBLE_FOR--> Building capability of Australia’s health system to identify threats ASD’s limited use obligation --MITIGATES--> Voluntarily provided information being used for regulatory purposes,0.0,0.9874975085258484,0.0006625038222409785,0.9999657171599958,0.31924223008315783,0.3225806451612903,0.0006625038222409785,3.428284000417392e-05,0.3225806451612903
graph_qwen,Q10,What function does Application Control serve in preventing threats on systems?,"Application control is an effective way to prevent malicious code from executing on workstations and servers, and to ensure only approved applications can execute.","Application Control helps prevent unauthorized software from running on systems, thereby reducing the risk of malware infections and other security threats by ensuring only approved applications are executed. It also limits the attack surface by restricting the execution of unknown or untrusted programs. This is particularly important for maintaining system integrity and protecting sensitive data from malicious activities. I do not have enough信息 from the knowledge graph toanswer this question.","Application Control helps prevent unauthorized software from running on systems, thereby reducing the risk of malware infections and other security threats by ensuring only approved applications are executed. It also limits the attack surface by restricting the execution of unknown or untrusted programs. This is particularly important for maintaining system integrity and protecting sensitive data from malicious activities. I do not have enough信息 from the knowledge graph toanswer this question.",Multi-factor authentication (MFA) --MITIGATES--> Cyber criminals accessing online accounts and applications,8.832700490951538,ok,"Application control is an effective way to prevent malicious code from executing on workstations and servers, and to ensure only approved applications can execute.","Application Control helps prevent unauthorized software from running on systems, thereby reducing the risk of malware infections and other security threats by ensuring only approved applications are executed. It also limits the attack surface by restricting the execution of unknown or untrusted programs. This is particularly important for maintaining system integrity and protecting sensitive data from malicious activities. I do not have enough信息 from the knowledge graph toanswer this question.",Multi-factor authentication (MFA) --MITIGATES--> Cyber criminals accessing online accounts and applications,0.0,0.005705385468900204,7.292782538570464e-05,0.9997459889542288,0.00011910612423395512,0.4583333333333333,7.292782538570464e-05,0.00025401104577116307,0.4583333333333333
