pipeline,id,question,gold_answer,model_answer,latency_sec
graph_llama,Q1,What are the three basic security measures the Small Business Cyber Security Guide recommends as a starting point for SMBs?,"The guide recommends turning on multi-factor authentication, updating software, and backing up information as basic security measures.",I do not have enough information from the knowledge graph to answer this question. Australian small businesses (SMBs) are less likely to implement cyber security measures. Multi-factor authentication (MFA) is a recommended basic security measure. Australian Privacy Principle 11 (APP 11) requires active measures to ensure the security of personal information.,15.486452341079712
graph_llama,Q2,Which Australian government agency provides advice and has a 24/7 hotline for cyber security support?,"The Australian Cyber Security Centre (ACSC) provides advice and support, including through a 24/7 hotline.","I do not have enough information from the knowledge graph to answer this question. The Cyber Incident Review Board (CIRB) --RESPONSIBLE_FOR--> Issuing advice to government and industry on how to avoid recurrence of incidents. However, there is no information about a 24/7 hotline for cyber security support. The National Cyber Security Coordinator (Cyber Coordinator) --RESPONSIBLE_FOR--> Coordinating whole-of-government incident response efforts, but there is no information about providing advice or a hotline.",13.18272590637207
graph_llama,Q3,"What types of scams do cybercriminals use to target small businesses, and what are the goals of these scams?","Cybercriminals use email, text messages, phone calls, and social media scams, often pretending to be a trusted person or organization. Their goal is to scam staff into sending money/gift cards, clicking malicious links, or giving away sensitive information like passwords.","Cybercriminals targeting business data use various scams to breach data, which requires protection from cybercriminals. NAS or other servers are targeted by cybercriminals. Micro sized enterprises are especially vulnerable to highly adaptable and cunning cybercriminals. The goals of these scams are to breach data.",14.056864500045776
graph_llama,Q4,What critical challenge did the Western Australia study identify as the biggest hindrance to cybersecurity for SMBs?,"The biggest hindrance to cybersecurity found by the study was the lack of funds, coupled with a lack of knowledge on where to start implementing good security practices.","I do not have enough information from the knowledge graph to answer this question. Cyber security threats --LEADS_TO--> Threatening SMEs' existence, profitability, and critical contributions to the economy. Employees and owners (SMEs) --RELATED_TO--> Main actors within the critical steps in recognizing, responding to and recovering from cyber-attack. SMBs (Western Australia) --LOCATED_IN--> Western Australia (WA).",14.076121807098389
graph_llama,Q5,What is the purpose of the Notifiable Data Breaches (NDB) legislation regarding reporting obligations for organizations?,The NDB legislation requires an organization to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) as soon as practicable of a material data breach.,"The NDB scheme requires organizations to notify affected individuals and the Office of the Australian Information Commissioner (OAIC) of a material data breach. This is a result of the legislation's focus on transparency and accountability in data handling. The proposed ransomware reporting for businesses also requires information on the attack scope, timeframe, entry point, type, and data targeted. This suggests that the NDB scheme is designed to ensure that organizations take responsibility for their data handling practices and are transparent about any breaches that occur.",14.348003149032593
graph_llama,Q6,What is the role of MFA (Multi-factor authentication) in protecting online accounts for small businesses?,"MFA is one of the most effective ways to protect online accounts and applications from cyber criminals, acting as a two-step verification to verify a user’s identity.","Australian Small Businesses require Multi-factor authentication (MFA) to protect their online accounts. MFA is also required for administrative accounts, such as servers and NAS, to ensure strong security. This is in addition to user access, which should only be granted to what is necessary for each role. By implementing MFA, small businesses can better protect themselves against ransomware, which requires MFA to access services.",14.054019212722778
graph_llama,Q7,What are the two primary reasons why SMEs are highly important entities to threat actors?,"SMEs are highly important to threat actors because they are easier targets to exploit, and they often serve as a gateway to larger organizations or targeted high-profile victims [F11. CITRENZ_2022_paper_3899.pdf].",I do not have enough information from the knowledge graph to answer this question. ASD Essential 8 and ASD Top 4 --CAUSES--> Confusion for SMEs (re: guidance). I do not have enough information from the knowledge graph to answer this question. I do not have enough information from the knowledge graph to answer this question.,14.134927034378052
graph_llama,Q8,What should small businesses be aware of if they pay a ransom during a ransomware incident?,"Paying a ransom does not guarantee that the files will be restored, and it increases the likelihood of the victim being targeted again.","Small businesses should be aware that paying a ransom does not guarantee the return of their data, and they may still be vulnerable to further cybercrime. They may also be unaware of the common threats, as 75% of SMEs believe they are not targets of cybercrime. The Australian Government has invested in the Cyber Enhanced Situational Awareness and Response (CESAR) package to improve cybersecurity, but small businesses may still lack the awareness of common threats. The ASD’s ACSC provides cyber security awareness training to SMEs, but small businesses may still be unaware of the risks.",14.083771228790283
graph_llama,Q9,What is the purpose of the proposed Cyber Health-Check Program under the 2023–2030 Australian Cyber Security Strategy?,"The program will offer a free, tailored assessment of cyber security maturity to small and medium businesses, along with educational tools and materials to help them improve their cyber security posture.",I do not have enough information from the knowledge graph to answer this question. Malicious state actors and cybercriminals target critical services like telecommunication networks and health systems. The Threat Sharing Acceleration Fund is responsible for building the capability of Australia’s health system to identify threats. ASD’s limited use obligation mitigates the use of voluntarily provided information for regulatory purposes.,14.092235088348389
graph_llama,Q10,What function does Application Control serve in preventing threats on systems?,"Application control is an effective way to prevent malicious code from executing on workstations and servers, and to ensure only approved applications can execute.","I do not have enough information from the knowledge graph to answer this question. Multi-factor authentication (MFA) --MITIGATES--> Cyber criminals accessing online accounts and applications. There is no information about Application Control in the knowledge graph. Therefore, I do not have enough information to answer the question.",14.04739761352539
